No,Skenario,Langkah Singkat,Kriteria Lulus,Status (PASS/FAIL),Catatan
1,Submit dasar berhasil masuk sheet,"Kirim 1 laporan sederhana","UI sukses, row baru masuk sheet, status Menunggu Verifikasi",,
2,Field kategori ekosistem tersimpan benar,"Titik Baru/Area Baru pilih Kategori ekosistem=Lahan Mineral","Target Feature Properties dan Proposed Changes JSON memuat Kategori_Ekosistem=Lahan Mineral",,
3,Validasi kategori ekosistem berjalan,"Pilih Titik Baru/Area Baru tanpa memilih kategori ekosistem","Submit diblokir dengan alert validasi",,
4,Tambah Foto Kegiatan,"Pilih objek WebGIS + upload foto (mangrove minimal 2)","Submit sukses, metadata target terisi",,
5,Perbaikan Informasi,"Pilih objek + isi minimal 1 atribut baru + catatan","old/new info + proposed changes tersimpan",,
6,Titik Baru,"Pilih titik + isi wajib + foto","Geometri Point + lat/long tersimpan",,
7,Area/Poligon Baru,"Gambar/upload polygon + isi wajib","Geometri Polygon/MultiPolygon + tidak wajib foto",,
8,Monitoring,"Pilih objek + isi field wajib monitoring + foto","JSON monitoring tersimpan",,
9,Replanting/Penyulaman Mangrove,"Target area_mangrove + isi field wajib + 2 foto","Sukses saat valid, gagal saat target/foto tidak valid",,
10,Kebakaran,"Titik + isi wajib + foto","Geometri Point tersimpan",,
11,Abrasi,"Titik + isi wajib + foto","Geometri Point tersimpan",,
12,Biodiversitas,"Titik + isi wajib + foto","Geometri Point tersimpan",,
13,Capacity Building,"Isi peserta + target + mitra + topik (+ dokumen opsional)","Submit sukses tanpa geometri wajib + JSON capacity tersimpan",,
14,Publish pipeline berjalan,"Set beberapa laporan ke Sudah Dipublikasikan","Endpoint publik memuat data terbaru + atribut baru ikut terbawa saat tersedia",,
